url,rank,score,raw_score,grade,grade_reliable,coverage_note,total_findings,critical,high,medium,low,info,tests_run,modules_discovered,waf,page_is_representative,duration_seconds,findings_by_scout,ocsp_stapling
https://lcft.org.uk,86621,11,11.0,F,True,,36,0,3,11,14,8,10,10,,True,3.93,"{""test_02_frontend_libs"": 2, ""test_03_cookies"": 1, ""test_04_ssl_tls"": 4, ""test_05_security_headers"": 15, ""test_06_info_disclosure"": 2, ""test_07_email_security"": 3, ""test_08_cors"": 1, ""test_09_sri"": 7, ""test_10_hallucinated_deps"": 1}",false
https://tivu.tv,87084,0,-11.0,F,True,,31,0,4,7,13,7,10,10,,True,12.28,"{""test_02_frontend_libs"": 5, ""test_03_cookies"": 1, ""test_04_ssl_tls"": 3, ""test_05_security_headers"": 15, ""test_06_info_disclosure"": 2, ""test_07_email_security"": 2, ""test_08_cors"": 1, ""test_09_sri"": 1, ""test_10_hallucinated_deps"": 1}",false
https://nlb.lk,87444,26,26.0,F,True,,48,0,3,3,13,29,10,10,,True,8.92,"{""test_03_cookies"": 1, ""test_04_ssl_tls"": 4, ""test_05_security_headers"": 15, ""test_06_info_disclosure"": 23, ""test_07_email_security"": 2, ""test_08_cors"": 1, ""test_09_sri"": 1, ""test_10_hallucinated_deps"": 1}",false
https://sflix.today,87578,33,33.0,F,True,,23,0,3,2,7,11,10,10,Cloudflare,True,5.68,"{""test_02_frontend_libs"": 1, ""test_03_cookies"": 1, ""test_04_ssl_tls"": 5, ""test_05_security_headers"": 7, ""test_06_info_disclosure"": 3, ""test_07_email_security"": 3, ""test_08_cors"": 1, ""test_09_sri"": 1, ""test_10_hallucinated_deps"": 1}",false
https://cpaaustralia.com.au,87611,79,79.0,B,False,Grade may be unreliable: page was not representative (WAF/challenge/error response detected); only 2/10 scan modules completed.,8,0,1,0,3,4,2,10,Cloudflare,False,3.35,"{""test_04_ssl_tls"": 5, ""test_07_email_security"": 3}",false
https://dailyexcelsior.com,87765,0,-2.0,F,True,,38,0,5,10,13,10,10,10,,True,12.04,"{""test_01_secrets"": 1, ""test_02_frontend_libs"": 3, ""test_03_cookies"": 1, ""test_04_ssl_tls"": 5, ""test_05_security_headers"": 13, ""test_06_info_disclosure"": 3, ""test_07_email_security"": 2, ""test_08_cors"": 1, ""test_09_sri"": 8, ""test_10_hallucinated_deps"": 1}",false
https://i-now.com,87882,85,85.0,A,False,Grade may be unreliable: page was not representative (WAF/challenge/error response detected); only 1/10 scan modules completed.,2,0,1,0,0,1,1,10,,False,23.56,"{""test_07_email_security"": 2}",
https://huddleboard.net,88109,96,96.0,A,False,Grade may be unreliable: page was not representative (WAF/challenge/error response detected); only 2/10 scan modules completed.,6,0,0,0,2,4,2,10,Cloudflare,False,4.04,"{""test_04_ssl_tls"": 4, ""test_07_email_security"": 2}",false
https://lespompeurs.com,88163,94,94.0,A,False,Grade may be unreliable: page was not representative (WAF/challenge/error response detected); only 2/10 scan modules completed.,6,0,0,0,3,3,2,10,Cloudflare,False,4.94,"{""test_04_ssl_tls"": 4, ""test_07_email_security"": 2}",false
https://ogury.co,89100,51,51.0,F,True,,70,0,2,33,24,11,10,10,Cloudflare,True,7.65,"{""test_02_frontend_libs"": 1, ""test_03_cookies"": 1, ""test_04_ssl_tls"": 4, ""test_05_security_headers"": 13, ""test_06_info_disclosure"": 4, ""test_07_email_security"": 2, ""test_08_cors"": 1, ""test_09_sri"": 43, ""test_10_hallucinated_deps"": 1}",false
https://dramakey.com,89373,26,26.0,F,True,,30,0,3,5,14,8,10,10,,True,26.66,"{""test_02_frontend_libs"": 1, ""test_03_cookies"": 1, ""test_04_ssl_tls"": 3, ""test_05_security_headers"": 15, ""test_06_info_disclosure"": 2, ""test_07_email_security"": 2, ""test_08_cors"": 1, ""test_09_sri"": 4, ""test_10_hallucinated_deps"": 1}",false
https://moodfabrics.com,89417,91,91.0,A,False,Grade may be unreliable: page was not representative (WAF/challenge/error response detected); only 2/10 scan modules completed.,6,0,0,1,2,3,2,10,Cloudflare,False,3.26,"{""test_04_ssl_tls"": 4, ""test_07_email_security"": 2}",false
https://shikimori.rip,89633,1,1.0,F,True,,29,0,5,2,11,11,10,10,Cloudflare,True,5.18,"{""test_02_frontend_libs"": 2, ""test_03_cookies"": 2, ""test_04_ssl_tls"": 5, ""test_05_security_headers"": 10, ""test_06_info_disclosure"": 4, ""test_07_email_security"": 3, ""test_08_cors"": 1, ""test_09_sri"": 1, ""test_10_hallucinated_deps"": 1}",false
https://okx.vote,89837,0,-82.0,F,True,,75,0,3,36,26,10,10,10,Cloudflare,True,12.5,"{""test_02_frontend_libs"": 2, ""test_03_cookies"": 29, ""test_04_ssl_tls"": 4, ""test_05_security_headers"": 12, ""test_06_info_disclosure"": 3, ""test_07_email_security"": 3, ""test_08_cors"": 1, ""test_09_sri"": 20, ""test_10_hallucinated_deps"": 1}",false
https://azgard.top,90092,61,61.0,D,False,Grade may be unreliable: page was not representative (WAF/challenge/error response detected); only 2/10 scan modules completed.,8,0,2,1,2,3,2,10,,False,4.21,"{""test_04_ssl_tls"": 6, ""test_07_email_security"": 2}",false
https://acsi.eu,90097,69,69.0,C,True,,29,0,0,7,15,7,10,10,,True,13.68,"{""test_02_frontend_libs"": 2, ""test_03_cookies"": 1, ""test_04_ssl_tls"": 3, ""test_05_security_headers"": 11, ""test_06_info_disclosure"": 3, ""test_07_email_security"": 2, ""test_08_cors"": 1, ""test_09_sri"": 5, ""test_10_hallucinated_deps"": 1}",false
https://imon.co.jp,90981,95,95.0,A,False,Grade may be unreliable: page was not representative (WAF/challenge/error response detected); only 1/10 scan modules completed.,2,0,0,1,0,1,1,10,,False,1.14,"{""test_07_email_security"": 2}",
https://bananatag.com,91061,61,61.0,D,False,Grade may be unreliable: page was not representative (WAF/challenge/error response detected); only 2/10 scan modules completed.,8,0,2,1,2,3,2,10,,False,5.61,"{""test_04_ssl_tls"": 6, ""test_07_email_security"": 2}",false
https://videosvit.sbs,91219,26,26.0,F,True,,30,0,3,4,12,11,10,10,,True,6.28,"{""test_03_cookies"": 1, ""test_04_ssl_tls"": 5, ""test_05_security_headers"": 15, ""test_06_info_disclosure"": 4, ""test_07_email_security"": 2, ""test_08_cors"": 1, ""test_09_sri"": 1, ""test_10_hallucinated_deps"": 1}",false
https://thefintechtimes.com,91745,21,21.0,F,True,,32,0,4,3,13,12,10,10,Cloudflare,True,6.2,"{""test_02_frontend_libs"": 1, ""test_03_cookies"": 1, ""test_04_ssl_tls"": 5, ""test_05_security_headers"": 13, ""test_06_info_disclosure"": 5, ""test_07_email_security"": 1, ""test_08_cors"": 1, ""test_09_sri"": 4, ""test_10_hallucinated_deps"": 1}",false
https://tayyarijeetki.in,91748,51,51.0,F,True,,28,0,2,5,11,10,10,10,Cloudflare,True,19.0,"{""test_02_frontend_libs"": 1, ""test_03_cookies"": 1, ""test_04_ssl_tls"": 4, ""test_05_security_headers"": 12, ""test_06_info_disclosure"": 3, ""test_07_email_security"": 1, ""test_08_cors"": 1, ""test_09_sri"": 4, ""test_10_hallucinated_deps"": 1}",false
https://11xplay.online,91899,3,3.0,F,True,,46,0,5,3,11,27,10,10,AWS CloudFront,True,15.86,"{""test_02_frontend_libs"": 1, ""test_03_cookies"": 1, ""test_04_ssl_tls"": 5, ""test_05_security_headers"": 14, ""test_06_info_disclosure"": 19, ""test_07_email_security"": 3, ""test_08_cors"": 1, ""test_09_sri"": 1, ""test_10_hallucinated_deps"": 1}",false
